country,year,flow,partner,hs2,value_usd
Fiji,2014,import,china,81,4076185.0
Fiji,2014,import,china,82,4098267.0
Fiji,2014,import,china,83,2068182.0
Fiji,2014,import,china,84,12390629.0
Fiji,2014,import,china,85,3357772.0
Fiji,2014,import,china,87,2992895.0
Fiji,2014,import,china,88,817738.0
Fiji,2014,import,china,89,19914746.0
Fiji,2014,import,china,93,4840770.0
Fiji,2014,import,world,00,3033951.0
Fiji,2014,import,world,01,31982183.0
Fiji,2014,import,world,02,65516603.0
Fiji,2014,import,world,03,198998494.0
Fiji,2014,import,world,04,96534617.0
Fiji,2014,import,world,05,57024550.0
Fiji,2014,import,world,06,10666085.0
Fiji,2014,import,world,07,11773762.0
Fiji,2014,import,world,08,23766144.0
Fiji,2014,import,world,09,27518921.0
Fiji,2014,import,world,11,20137075.0
Fiji,2014,import,world,12,1300510.0
Fiji,2014,import,world,21,59428.0
Fiji,2014,import,world,22,438757.0
Fiji,2014,import,world,23,115565.0
Fiji,2014,import,world,24,7599997.0
Fiji,2014,import,world,25,677.0
Fiji,2014,import,world,26,4797170.0
Fiji,2014,import,world,27,11288109.0
Fiji,2014,import,world,28,922179.0
Fiji,2014,import,world,29,3937328.0
Fiji,2014,import,world,32,56758.0
Fiji,2014,import,world,33,755468304.0
Fiji,2014,import,world,34,32163921.0
Fiji,2014,import,world,41,638410.0
Fiji,2014,import,world,42,25314253.0
Fiji,2014,import,world,43,126770.0
Fiji,2014,import,world,51,6811625.0
Fiji,2014,import,world,52,8956917.0
Fiji,2014,import,world,53,11363413.0
Fiji,2014,import,world,54,33924024.0
Fiji,2014,import,world,55,40045409.0
Fiji,2014,import,world,56,9000715.0
Fiji,2014,import,world,57,41685546.0
Fiji,2014,import,world,58,24638800.0
Fiji,2014,import,world,59,37368308.0
Fiji,2014,import,world,61,1225231.0
Fiji,2014,import,world,62,31043910.0
Fiji,2014,import,world,63,12370489.0
Fiji,2014,import,world,64,56601364.0
Fiji,2014,import,world,65,82026312.0
Fiji,2014,import,world,66,45722369.0
Fiji,2014,import,world,67,61195592.0
Fiji,2014,import,world,68,17227704.0
Fiji,2014,import,world,69,81396052.0
Fiji,2014,import,world,71,75463028.0
Fiji,2014,import,world,72,108034763.0
Fiji,2014,import,world,73,3703648.0
Fiji,2014,import,world,74,97385568.0
Fiji,2014,import,world,75,43374375.0
Fiji,2014,import,world,76,108883501.0
Fiji,2014,import,world,77,120621734.0
Fiji,2014,import,world,78,180302547.0
Fiji,2014,import,world,79,254589927.0
Fiji,2014,import,world,81,13283644.0
Fiji,2014,import,world,82,18898016.0
Fiji,2014,import,world,83,4407793.0
Fiji,2014,import,world,84,29930177.0
Fiji,2014,import,world,85,9966605.0
Fiji,2014,import,world,87,43923332.0
Fiji,2014,import,world,88,9116412.0
Fiji,2014,import,world,89,110482359.0
Fiji,2014,import,world,93,24294600.0
Fiji,2014,import,world,96,13146.0
Fiji,2014,import,world,97,4119.0
Fiji,2015,export,aus,01,97343.49900000001
Fiji,2015,export,aus,02,106897.64499999999
