country,year,partner,sti
Solomon Islands,2004,china,0.13458281640100384
Solomon Islands,2004,us,0.015506566803186968
Solomon Islands,2005,aus,0.2284813137513642
Solomon Islands,2005,china,0.14895964071913304
Solomon Islands,2005,us,0.01076370061576826
Solomon Islands,2006,aus,0.21085726330705404
Solomon Islands,2006,china,0.1711077199139457
Solomon Islands,2006,us,0.019439711608889035
Solomon Islands,2007,aus,0.18773871576742915
Solomon Islands,2007,china,0.17491589407994143
Solomon Islands,2007,us,0.012846269139902357
Solomon Islands,2008,aus,0.13846460001019245
Solomon Islands,2008,china,0.19201028011135246
Solomon Islands,2008,us,0.011624320594165129
Solomon Islands,2009,aus,0.15706076641969932
Solomon Islands,2009,china,0.23194464650531985
Solomon Islands,2009,us,0.01431573582943852
Solomon Islands,2010,aus,0.21905390089799523
Solomon Islands,2010,china,0.23859142126469354
Solomon Islands,2010,us,0.011486691400718212
Solomon Islands,2011,aus,0.24318143340790957
Solomon Islands,2011,china,0.24125241747440937
Solomon Islands,2011,us,0.008194495153173898
Solomon Islands,2012,aus,0.2712701314307714
Solomon Islands,2012,china,0.22514705950120917
Solomon Islands,2012,us,0.01098692792448361
Solomon Islands,2013,aus,0.26422438726073466
Solomon Islands,2013,china,0.25511586865257935
Solomon Islands,2013,us,0.01902373690120665
Solomon Islands,2014,aus,0.19954456651316246
Solomon Islands,2014,china,0.33704797775884715
Solomon Islands,2014,us,0.02007327405659913
Solomon Islands,2015,aus,0.16187818611838678
Solomon Islands,2015,china,0.38269122949529205
Solomon Islands,2015,us,0.008897334903069189
Solomon Islands,2016,aus,0.08970103783328102
Solomon Islands,2016,china,0.4302458958863725
Solomon Islands,2016,us,0.014392090734142065
Solomon Islands,2017,aus,0.10635666058902797
Solomon Islands,2017,china,0.44536657147684733
Solomon Islands,2017,us,0.014256737871906682
Solomon Islands,2018,aus,0.100261835807082
Solomon Islands,2018,china,0.45817640483453587
Solomon Islands,2018,us,0.014341062388289284
Solomon Islands,2019,aus,0.09948881241372542
Solomon Islands,2019,china,0.41470814698384806
Solomon Islands,2019,us,0.027571597281480707
Solomon Islands,2020,aus,0.083990050169395
Solomon Islands,2020,china,0.4687246964852248
