country_comtrade,year,flow,partner,comtrade_value_musd,imf_value_musd,country,abs_diff_musd,symmetric_pct_diff,log_ratio,within_tolerance
Papua New Guinea,2020,import,aus,1491.354719328,1549.832397,Papua New Guinea,58.4776776719998,3.8457138896870706,0.038461879635654665,True
Papua New Guinea,2020,import,china,740.330300659,1009.941284,Papua New Guinea,269.61098334099995,30.807902693972768,0.3105510346373775,False
Papua New Guinea,2020,import,world,4131.382551246,4440.214355,Papua New Guinea,308.83180375400025,7.205933903143741,0.07209054430706344,False
Papua New Guinea,2021,export,aus,1674.852227967,1674.832031,Papua New Guinea,-0.02019696700017448,-0.0012059027322415736,-1.20590273225369e-05,True
Papua New Guinea,2021,export,china,1754.6597588529999,1754.659668,Papua New Guinea,-9.08529998469021e-05,-5.17781306265272e-06,-5.1778130680139806e-08,True
Papua New Guinea,2021,export,world,9650.583208959999,9722.779297,Papua New Guinea,72.19608804000018,0.7453129317927113,0.007453163819456184,True
Papua New Guinea,2021,import,aus,1618.812778966,1667.5802,Papua New Guinea,48.76742103400011,2.967838681869618,0.02968056551658004,True
Papua New Guinea,2021,import,china,790.74056184,1181.080811,Papua New Guinea,390.34024916,39.591846861645045,0.4012153133587426,False
Papua New Guinea,2021,import,world,4540.868084237,5098.135254,Papua New Guinea,557.2671697629994,11.562754990495211,0.1157566346413206,False
Samoa,2013,export,aus,28.154949,35.47900009,Samoa,7.324051090000001,23.019319701944973,0.23121782738422256,False
Samoa,2013,export,china,0.137277,0.137999997,Samoa,0.000722997000000003,0.525286898563488,0.005252881064058441,True
Samoa,2013,export,world,62.108625,61.09098816,Samoa,-1.0176368400000015,-1.6520130443565453,-0.016520506174497584,True
Samoa,2013,import,aus,26.417984,26.6590004,Samoa,0.24101639999999946,0.9081766898573065,0.009081829320213628,True
Samoa,2013,import,china,29.863114,29.99699974,Samoa,0.1338857400000002,0.44732871902491705,0.004473294649589036,True
Samoa,2013,import,world,366.588281,365.2860107,Samoa,-1.3022702999999751,-0.35587267233422215,-0.0035587304791512477,True
Samoa,2014,export,aus,29.46246,29.29100037,Samoa,-0.17145963000000108,-0.5836579800414607,-0.005836596369413072,True
Samoa,2014,export,china,0.007675,0.008004,Samoa,0.0003290000000000003,4.1966962178710405,0.041973123248226094,True
Samoa,2014,export,world,50.92162,49.20301056,Samoa,-1.7186094399999945,-3.4329403871709916,-0.03433277592416815,True
Samoa,2014,import,aus,30.683805,33.91999817,Samoa,3.23619317,10.018584080829434,0.10026976600001004,False
Samoa,2014,import,china,49.001522,40.23899841,Samoa,-8.76252359,-19.637993032183395,-0.19701472377856877,False
Samoa,2014,import,world,388.023849,380.2720032,Samoa,-7.751845800000012,-2.0179324872840994,-0.020180009675091252,True
Samoa,2015,export,aus,24.816555,22.31240463,Samoa,-2.5041503700000014,-10.626800971884732,-0.10636818554257196,False
Samoa,2015,export,world,58.927553,52.79731369,Samoa,-6.13023931,-10.973813604109122,-0.10984846181123742,False
Samoa,2015,import,aus,36.401422,35.47438431,Samoa,-0.9270376899999988,-2.5795541993690887,-0.025796972520748016,True
Samoa,2015,import,china,54.977067,40.58080673,Samoa,-14.396260269999999,-30.130976565420067,-0.3036209204523912,False
Samoa,2015,import,world,370.582365,333.7939148,Samoa,-36.7884502,-10.445681166448614,-0.104551946738082,False
Samoa,2016,export,aus,20.124168,20.19140244,Samoa,0.06723444,0.33354080949970555,0.0033354111871887367,True
Samoa,2016,export,world,56.040486,56.17541504,Samoa,0.13492903999999584,0.24048114170896262,0.002404812576033072,True
Samoa,2016,import,aus,36.129473,37.05699539,Samoa,0.92752239,2.534682736861598,0.025348184529800897,True
Samoa,2016,import,china,49.231818,41.71562576,Samoa,-7.516192239999995,-16.528649798743935,-0.1656643447097192,False
Samoa,2016,import,world,349.840541,350.4897156,Samoa,0.6491746000000376,0.18539099057398561,0.0018539104367279301,True
Samoa,2017,export,aus,9.516657219,9.213913918,Samoa,-0.30274330100000135,-3.232611528881447,-0.032328930736019876,True
Samoa,2017,export,world,44.401814191,41.98144913,Samoa,-2.4203650609999983,-5.6037824179110425,-0.05605249543127058,False
Samoa,2017,import,aus,37.395168316,37.70917892,Samoa,0.31401060399999636,0.8361982110390561,0.008362030835296803,True
Samoa,2017,import,china,32.261765506,31.89344215,Samoa,-0.36832335600000476,-1.1482259023303403,-0.011482385179724998,True
Samoa,2017,import,world,356.189844941,351.2100525,Samoa,-4.979792440999972,-1.4079143802576837,-0.014079376376169475,True
Samoa,2018,export,aus,4.969451404,4.945384979,Samoa,-0.024066425000000002,-0.485462877456341,-0.004854638308853596,True
Samoa,2018,export,world,46.101460812,45.99344254,Samoa,-0.10801827200000247,-0.23458034716023551,-0.002345804547309347,True
Samoa,2018,import,aus,34.857875402000005,34.67540741,Samoa,-0.18246799200000652,-0.5248364081798143,-0.0052483761291727046,True
Samoa,2018,import,china,43.148324846,32.67053604,Samoa,-10.477788806,-27.63900349743906,-0.278169961938562,False
Samoa,2018,import,world,362.88371549,363.5550232,Samoa,0.6713077100000078,0.18482156147415513,0.001848216140851871,True
Samoa,2019,export,aus,4.03921213,4.028532028,Samoa,-0.010680102000000247,-0.2647605524131507,-0.0026476070707352546,True
Samoa,2019,export,world,50.497658560000005,49.06240082,Samoa,-1.4352577400000044,-2.8831998472839886,-0.028833996020503416,True
Samoa,2019,import,aus,35.5841164,35.08372116,Samoa,-0.500395239999996,-1.4161894782053834,-0.014162131480773959,True
Samoa,2019,import,china,48.418997350000005,48.23056793,Samoa,-0.18842942000000562,-0.38992295403318883,-0.003899234480664103,True
Samoa,2019,import,world,391.48513971,389.0053406,Samoa,-2.4797991099999876,-0.6354463436927624,-0.006354484819405932,True
Samoa,2021,export,aus,2.4794784109999997,2.504319906,Samoa,0.024841495000000435,0.9968900593454908,0.009968983152949161,True
Samoa,2021,export,world,28.84405544,29.07977295,Samoa,0.23571750999999708,0.8138878819021275,0.008138923746993302,True
Samoa,2021,import,aus,40.469813839000004,32.51656342,Samoa,-7.953250419000007,-21.793794178267113,-0.2188067556981437,False
Samoa,2021,import,china,50.633872241,32.37199783,Samoa,-18.261874411,-44.00140470879831,-0.44732697961448525,False
Samoa,2021,import,world,369.733311127,367.8873596,Samoa,-1.8459515269999542,-0.500515129322659,-0.005005161742161245,True
